id,numero_recolecta,nombre_cientifico,nombre_comun,habitat,datos_morfologicos,epoca_floracion,epoca_fructificacion,usos_tradicionales,note
735,POL-18416C6F-2022,Chamaedorea elegans,Palma camedor,,"Chamaedorea elegans, también conocida como camaedorea, pacaya o palmera de salón, es una especie de pequeña palmera perteneciente a la familia Arecaceae. Es muy popular como planta de interior.",,,,
736,POL-EE499429-2023,Avicennia germinans,Mangle negro,"Avicennia germinans, llamado popularmente mangle blanco,​ mangle prieto o mangle negro,​ es un árbol de la familia Acanthaceae.​ Desempeña un papel clave en el ecosistema del manglar como barrera contra las mareas y resguardo, crianza y protección de la vida silvestre.","Avicennia germinans, llamado popularmente mangle blanco,​ mangle prieto o mangle negro,​ es un árbol de la familia Acanthaceae.​ Desempeña un papel clave en el ecosistema del manglar como barrera contra las mareas y resguardo, crianza y protección de la vida silvestre. Crece en regiones tropicales y subtropicales de América, en ambas costas, del Atlántico y del Pacífico, y en la costa del Atlántico de África tropical, donde prospera en las orillas arenosas.",Es común en áreas costeras de Texas y Florida y habita desde norte de Luisiana y Georgia en los Estados Unidos y por las costas hasta Sudamérica.,,,
737,POL-A6D60B1B-2024,Piscidia piscipula,Jabín,"Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina. El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.",,El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.,
738,POL-9805B780-2024,Swietenia macrophylla,Caoba,"Swietenia macrophylla también llamado caoba de Honduras o caoba (o caobo) de hoja grande, 'aguano' y 'zopilote',​​ es una especie de árboles originaria de la zona intertropical americana perteneciente a la familia de las Meliaceae.","Swietenia macrophylla también llamado caoba de Honduras o caoba (o caobo) de hoja grande, 'aguano' y 'zopilote',​​ es una especie de árboles originaria de la zona intertropical americana perteneciente a la familia de las Meliaceae. Es cultivado como planta ornamental y por su madera que es muy cotizada y utilizada en ebanistería.​",,,Es cultivado como planta ornamental y por su madera que es muy cotizada y utilizada en ebanistería.​,
739,POL-0CB65BD3-2022,Cordia dodecandra,Siricote,,"El siricote o ciricote (Cordia dodecandra)​es un árbol de la familia de las Boraginaceas, originario del sur de México, Guatemala y Belice. Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.",Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.,"Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​","Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​",
740,POL-70F5C923-2024,Laguncularia racemosa,Mangle blanco,"Laguncularia racemosa, conocido también en Cuba como patabán,​ y en Colombia, Venezuela y Costa Rica como mangle blanco o mereicillo, es la única especie del género monotípico Laguncularia.","Laguncularia racemosa, conocido también en Cuba como patabán,​ y en Colombia, Venezuela y Costa Rica como mangle blanco o mereicillo, es la única especie del género monotípico Laguncularia.",,,,
741,POL-2918AB82-2025,Sabal mexicana,Palma real,,"Sabal mexicana, llamado comúnmente palmito mexicano o palma de petate,​ es una especie de la familia de las  Arecaceae nativa de Norteamérica. Está estrechamente emparentado con Sabal guatemalensis, y las dos especies pueden ser sinónimos.​​",,,,
742,POL-C605A3EB-2025,Plumeria rubra,Flor de mayo,"Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.","Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.","Plumeria rubra, de nombre común cacaloxóchitl, cacalosúchil, flor de mayo y franchipán, entre otros, es una especie del género Plumeria oriunda de México, América Central y Venezuela y ampliamente cultivada en zonas tropicales y subtropicales de todo el mundo,además de ser la Flor Nacional de Nicaragua.",,,
743,POL-54864DC9-2022,Cordia dodecandra,Siricote,,"El siricote o ciricote (Cordia dodecandra)​es un árbol de la familia de las Boraginaceas, originario del sur de México, Guatemala y Belice. Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.",Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.,"Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​","Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​",
744,POL-913E8573-2023,Manihot esculenta,Yuca,Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario. Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.",,,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario.",
745,POL-8FE3BB7D-2023,Cedrela odorata,Cedro,"Cedrela odorata, llamado comúnmente cedro americano,​ es un árbol de la familia de las Meliáceas de la zona intertropical americana.​ Su madera tiene un gran valor comercial que por su calidad se utiliza en ebanistería y carpintería, también se usa como árbol ornamental en avenidas, parques, plazas.​","Cedrela odorata, llamado comúnmente cedro americano,​ es un árbol de la familia de las Meliáceas de la zona intertropical americana.​ Su madera tiene un gran valor comercial que por su calidad se utiliza en ebanistería y carpintería, también se usa como árbol ornamental en avenidas, parques, plazas.​",,,"Cedrela odorata, llamado comúnmente cedro americano,​ es un árbol de la familia de las Meliáceas de la zona intertropical americana.​ Su madera tiene un gran valor comercial que por su calidad se utiliza en ebanistería y carpintería, también se usa como árbol ornamental en avenidas, parques, plazas.​",
746,POL-A0EF91B9-2023,Manihot esculenta,Yuca,Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario. Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.",,,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario.",
747,POL-7D8CDE7E-2022,Roystonea regia,Palma real cubana,,"Roystonea regia, conocida como palma real, es una especie de  palma cuya altura, elegancia y fácil cultivo la ha convertido en una de los árboles utilizados como ornamental más común en el mundo. Es también el más simbólico de los campos de Cuba,  donde es reconocido como árbol nacional.",,,"Roystonea regia, conocida como palma real, es una especie de  palma cuya altura, elegancia y fácil cultivo la ha convertido en una de los árboles utilizados como ornamental más común en el mundo.",
748,POL-F048EBAD-2025,Bougainvillea spectabilis,Bugambilia,,Bougainvillea spectabilis es una planta trepadora de la familia Nyctaginaceae. Es originaria de Brasil donde se encuentra en la Amazonia y la Mata Atlántica.​,,,,
749,POL-6F85A6F6-2022,Rhizophora mangle,Mangle rojo,"Rhizophora mangle llamado comúnmente mangle rojo ​ es una especie vegetal de la familia Rhizophoraceae,​ la cual cuenta con alrededor de 120 especies distribuidas en 16 géneros, siendo el género Rhizophora el más conocido, dominando las partes más anegadas de los ecosistemas manglar y la zona intermareal.","Rhizophora mangle llamado comúnmente mangle rojo ​ es una especie vegetal de la familia Rhizophoraceae,​ la cual cuenta con alrededor de 120 especies distribuidas en 16 géneros, siendo el género Rhizophora el más conocido, dominando las partes más anegadas de los ecosistemas manglar y la zona intermareal. Es una especie adaptada a ambientes salinos y tolera mayor salinidad que los otros mangles y sirve de refugio a animales terrestres y acuáticos.​ El mangle rojo es uno de los árboles emblemáticos de Venezuela.​ Tiene múltiples usos desde maderable, medicinal, curtiente, para construcción y melífero.​​",,,"Es una especie adaptada a ambientes salinos y tolera mayor salinidad que los otros mangles y sirve de refugio a animales terrestres y acuáticos.​ El mangle rojo es uno de los árboles emblemáticos de Venezuela.​ Tiene múltiples usos desde maderable, medicinal, curtiente, para construcción y melífero.​​",
750,POL-7CB03CD8-2022,Delonix regia,Flaming,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.","Delonix regia, comúnmente llamado Chivato, Tabachín, Malinche, Árbol de Caballero, Árbol de fuego​, Ponciana Real,  flamboyant, flamboyán, Framboyán de Madagascar o Clavellino de Madagascar, entre otros nombres, es un árbol de la familia de las fabáceas. Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.","Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.",,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.",
751,POL-4D2A7721-2023,Monstera deliciosa,Costilla de Adán,"Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]","Monstera deliciosa, llamada comúnmente cerimán o costilla de Adán, es una especie de planta trepadora de la familia Araceae, endémica de selvas tropicales, que se distribuye desde el centro y sur de México hasta el norte de Argentina.[cita requerida]",,,,
752,POL-E5507F35-2022,Anthurium spp.,Anturio,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
753,POL-117471DB-2022,Bixa orellana,Achiote,"Bixa orellana, llamada comúnmente​​ achiote, achote, achuete, acotillo, anate, bija, cacicuto, onoto, rocú, urucú, ururú, además de otros nombres locales, es una especie botánica arborescente de la familia de las bixáceas, de las regiones intertropicales de América, cultivado específicamente en América Central, Bolivia desde la época precolombina, Brasil, Colombia, Ecuador, México, Perú, República Dominicana y Venezuela​ En Paraguay crece en forma espontánea en el sotobosque nativo.","Bixa orellana, llamada comúnmente​​ achiote, achote, achuete, acotillo, anate, bija, cacicuto, onoto, rocú, urucú, ururú, además de otros nombres locales, es una especie botánica arborescente de la familia de las bixáceas, de las regiones intertropicales de América, cultivado específicamente en América Central, Bolivia desde la época precolombina, Brasil, Colombia, Ecuador, México, Perú, República Dominicana y Venezuela​ En Paraguay crece en forma espontánea en el sotobosque nativo. De su fruto se obtiene la especia homónima, empleada como colorante y condimento en la comida popular.",,"De su fruto se obtiene la especia homónima, empleada como colorante y condimento en la comida popular.",,
754,POL-1838815E-2024,Phaseolus vulgaris,Frijol,,"Phaseolus vulgaris es la especie más conocida del género Phaseolus en la familia Fabaceae. Sus semillas y, por extensión, la propia planta, reciben diversos nombres según la región; entre los más comunes están: alubia,​ judía, frijol,​ frísol,​ frejol,​ habichuela,​​ caraota,​ poroto,​​ etc.",,"Sus semillas y, por extensión, la propia planta, reciben diversos nombres según la región; entre los más comunes están: alubia,​ judía, frijol,​ frísol,​ frejol,​ habichuela,​​ caraota,​ poroto,​​ etc.",,
755,POL-3879179E-2022,Manihot esculenta,Yuca,Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario. Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.",,,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario.",
756,POL-2B19A888-2024,Hibiscus rosa-sinensis,Hibisco,,"Hibiscus rosa-sinensis, llamado comúnmente rosa de China, cayena,  amapola, hibisco, gumamela, entre otros nombres,​ es un arbusto caducifolio de la familia de las malváceas, originario de Asia oriental.",,,,
757,POL-512812A5-2024,Cordia dodecandra,Siricote,,"El siricote o ciricote (Cordia dodecandra)​es un árbol de la familia de las Boraginaceas, originario del sur de México, Guatemala y Belice. Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.",Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.,"Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​","Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​",
758,POL-B94E49E8-2023,Cedrela odorata,Cedro,"Cedrela odorata, llamado comúnmente cedro americano,​ es un árbol de la familia de las Meliáceas de la zona intertropical americana.​ Su madera tiene un gran valor comercial que por su calidad se utiliza en ebanistería y carpintería, también se usa como árbol ornamental en avenidas, parques, plazas.​","Cedrela odorata, llamado comúnmente cedro americano,​ es un árbol de la familia de las Meliáceas de la zona intertropical americana.​ Su madera tiene un gran valor comercial que por su calidad se utiliza en ebanistería y carpintería, también se usa como árbol ornamental en avenidas, parques, plazas.​",,,"Cedrela odorata, llamado comúnmente cedro americano,​ es un árbol de la familia de las Meliáceas de la zona intertropical americana.​ Su madera tiene un gran valor comercial que por su calidad se utiliza en ebanistería y carpintería, también se usa como árbol ornamental en avenidas, parques, plazas.​",
759,POL-A1A2F92E-2023,Ocimum basilicum,Albahaca,"Ocimum basilicum es una hierba aromática anual de la familia de las lamiáceas nativa de las regiones tropicales de África Central y el sudeste asiático, que se cultiva desde hace milenios.​ Es una planta tierna y se utiliza en cocinas de todo el mundo.","Ocimum basilicum es una hierba aromática anual de la familia de las lamiáceas nativa de las regiones tropicales de África Central y el sudeste asiático, que se cultiva desde hace milenios.​ Es una planta tierna y se utiliza en cocinas de todo el mundo. Hay muchas variedades de Ocimum basilicum, así como varias especies relacionadas.","thyrsiflora), Ocimum × citriodorum y el tulsí.",,,
760,POL-0F2AD0D8-2024,Bixa orellana,Achiote,"Bixa orellana, llamada comúnmente​​ achiote, achote, achuete, acotillo, anate, bija, cacicuto, onoto, rocú, urucú, ururú, además de otros nombres locales, es una especie botánica arborescente de la familia de las bixáceas, de las regiones intertropicales de América, cultivado específicamente en América Central, Bolivia desde la época precolombina, Brasil, Colombia, Ecuador, México, Perú, República Dominicana y Venezuela​ En Paraguay crece en forma espontánea en el sotobosque nativo.","Bixa orellana, llamada comúnmente​​ achiote, achote, achuete, acotillo, anate, bija, cacicuto, onoto, rocú, urucú, ururú, además de otros nombres locales, es una especie botánica arborescente de la familia de las bixáceas, de las regiones intertropicales de América, cultivado específicamente en América Central, Bolivia desde la época precolombina, Brasil, Colombia, Ecuador, México, Perú, República Dominicana y Venezuela​ En Paraguay crece en forma espontánea en el sotobosque nativo. De su fruto se obtiene la especia homónima, empleada como colorante y condimento en la comida popular.",,"De su fruto se obtiene la especia homónima, empleada como colorante y condimento en la comida popular.",,
761,POL-DB4D514C-2024,Ficus spp.,Higo,,Planta del grupo; características morfológicas varían por especie.,,,,fallback template (no wiki extract)
762,POL-B4464A1C-2025,Lysiloma latisiliquum,Tzalam,"Habita en zonas con vegetación tropical húmeda y en las cercanías del manglar, en elevaciones menores a los 250 m s.","El tsalam o tzalam (Lysiloma latisiliquum), también llamado abey​ en las Antillas y Venezuela, es un árbol maderable de la familia de las fabáceas. Es nativo de la Florida en el sur de Estados Unidos, las Bahamas, el Caribe, sur de México y el norte de América Central.​ Sin embargo en su mayor parte se encuentra restringido a la península de Yucatán.","Es nativo de la Florida en el sur de Estados Unidos, las Bahamas, el Caribe, sur de México y el norte de América Central.​ Sin embargo en su mayor parte se encuentra restringido a la península de Yucatán.",,"El tsalam o tzalam (Lysiloma latisiliquum), también llamado abey​ en las Antillas y Venezuela, es un árbol maderable de la familia de las fabáceas.",
763,POL-58AB6FF9-2024,Ceiba pentandra,Ceiba,"En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​","Ceiba pentandra, llamado comúnmente ceiba, ceibo, pochote, huimba, o yaxché,​ es un árbol de la familia Malvaceae​ (anteriormente perteneciente a la familia Bombacaceae). En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​",,"En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​","En algunas zonas al árbol y la fibra que se obtiene de las semillas se les llama en inglés como kapok, nombre derivado del malayo que originalmente se aplicaba a Bombax ceiba, nativo de Asia tropical.​ Es originario de la región de Mesoamérica y se distribuye mundialmente por la zona intertropical.​​ Se cultiva en plantaciones para la obtención de fibra y aceite, así como también se utiliza de forma ornamental, en la reforestación y la carpintería.​",
764,POL-AD256308-2025,Avicennia germinans,Mangle negro,"Avicennia germinans, llamado popularmente mangle blanco,​ mangle prieto o mangle negro,​ es un árbol de la familia Acanthaceae.​ Desempeña un papel clave en el ecosistema del manglar como barrera contra las mareas y resguardo, crianza y protección de la vida silvestre.","Avicennia germinans, llamado popularmente mangle blanco,​ mangle prieto o mangle negro,​ es un árbol de la familia Acanthaceae.​ Desempeña un papel clave en el ecosistema del manglar como barrera contra las mareas y resguardo, crianza y protección de la vida silvestre. Crece en regiones tropicales y subtropicales de América, en ambas costas, del Atlántico y del Pacífico, y en la costa del Atlántico de África tropical, donde prospera en las orillas arenosas.",Es común en áreas costeras de Texas y Florida y habita desde norte de Luisiana y Georgia en los Estados Unidos y por las costas hasta Sudamérica.,,,
765,POL-0992DC10-2023,Ipomoea batatas,Camote,,"Ipomoea batatas, llamada comúnmente batata,​ chaco,​ papa dulce, patata dulce,​ papa camote, camote,​ moniato,​ boniato,​ o apichu,​ es una planta de la familia Convolvulaceae, cultivada en gran parte del mundo por su raíz tuberosa comestible, de sabor dulce.",,,,
766,POL-B2B79A86-2022,Delonix regia,Flaming,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.","Delonix regia, comúnmente llamado Chivato, Tabachín, Malinche, Árbol de Caballero, Árbol de fuego​, Ponciana Real,  flamboyant, flamboyán, Framboyán de Madagascar o Clavellino de Madagascar, entre otros nombres, es un árbol de la familia de las fabáceas. Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.","Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.",,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.",
767,POL-784A4966-2024,Pistia stratiotes,Lechuga de agua,,Pistia stratiotes es la única especie del género monotípico Pistia. Esta planta acuática de la familia Araceae es llamada comúnmente repollito del agua o lechuga de agua.,,,,
768,POL-BAEA43B0-2024,Chamaedorea elegans,Palma camedor,,"Chamaedorea elegans, también conocida como camaedorea, pacaya o palmera de salón, es una especie de pequeña palmera perteneciente a la familia Arecaceae. Es muy popular como planta de interior.",,,,
769,POL-56B5F92D-2024,Cordia dodecandra,Siricote,,"El siricote o ciricote (Cordia dodecandra)​es un árbol de la familia de las Boraginaceas, originario del sur de México, Guatemala y Belice. Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.",Es un árbol caducifolio de flores amarillo-rojizas que llega a crecer hasta 30 m de altura.,"Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​","Generalmente se cultiva con fines de ornamentación; además, su madera se usa para la fabricación de muebles y guitarras y como remedio casero contra resfriados; su fruta es comestible y sus hojas se usan con fines de limpieza.​",
770,POL-B51026D9-2022,Delonix regia,Flaming,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.","Delonix regia, comúnmente llamado Chivato, Tabachín, Malinche, Árbol de Caballero, Árbol de fuego​, Ponciana Real,  flamboyant, flamboyán, Framboyán de Madagascar o Clavellino de Madagascar, entre otros nombres, es un árbol de la familia de las fabáceas. Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.","Es uno de los árboles más coloridos del mundo por sus flores rojas, anaranjadas, y por su follaje verde brillante puede llegar a medir hasta 12 m.",,"En América Tropical se considera como especie exótica ornamental, por lo que tiene una distribución amplia.",
771,POL-9FB87FF4-2025,Piscidia piscipula,Jabín,"Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina. El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.","Piscidia piscipula, llamado comúnmente barbasco, palo de agua, jabil, jabín o chijol, es una especie de árbol tropical de tamaño mediano, de hojas caducas, nativa del sur de Florida, los Cayos de la Florida, Tejas, de Antillas y América Latina.",,El árbol tiene valor medicinal como analgésico y sedante.​ Piscidia piscipula fue descrita por (L.) Sarg.,
772,POL-F0B2DAB5-2025,Conocarpus erectus,Mangle botoncillo,"El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia.","El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia. Es una de las dos especies de mangles pertenecientes al género Conocarpus.","El mangle botoncillo o mangle zaragoza (Conocarpus erectus) es un árbol de la familia Combretaceae que crece en las costas, en las regiones tropicales y subtropicales de todo el mundo, incluyendo Florida, las Bermudas, las Bahamas, el Caribe, Centroamérica y desde el sur de México hasta Brasil en la costa atlántica y de México a Ecuador en la costa del Pacífico, así como en África occidental, Melanesia y Polinesia.",,,
773,POL-F041F043-2024,Manihot esculenta,Yuca,Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario. Es originaria del centro de América del Sur y se ha cultivado en la mayor parte de las zonas tropicales y subtropicales del continente americano.",,,"Manihot esculenta, llamada comúnmente yuca, aipim, casabe, casava, guacamota, lumu o mandioca, es un arbusto perenne de la familia de las euforbiáceas extensamente cultivado en América, África y Oceanía por sus raíces con almidones de alto valor alimentario.",
774,POL-90AD30A0-2024,Bixa orellana,Achiote,"Bixa orellana, llamada comúnmente​​ achiote, achote, achuete, acotillo, anate, bija, cacicuto, onoto, rocú, urucú, ururú, además de otros nombres locales, es una especie botánica arborescente de la familia de las bixáceas, de las regiones intertropicales de América, cultivado específicamente en América Central, Bolivia desde la época precolombina, Brasil, Colombia, Ecuador, México, Perú, República Dominicana y Venezuela​ En Paraguay crece en forma espontánea en el sotobosque nativo.","Bixa orellana, llamada comúnmente​​ achiote, achote, achuete, acotillo, anate, bija, cacicuto, onoto, rocú, urucú, ururú, además de otros nombres locales, es una especie botánica arborescente de la familia de las bixáceas, de las regiones intertropicales de América, cultivado específicamente en América Central, Bolivia desde la época precolombina, Brasil, Colombia, Ecuador, México, Perú, República Dominicana y Venezuela​ En Paraguay crece en forma espontánea en el sotobosque nativo. De su fruto se obtiene la especia homónima, empleada como colorante y condimento en la comida popular.",,"De su fruto se obtiene la especia homónima, empleada como colorante y condimento en la comida popular.",,
775,POL-96411D10-2022,Aloe vera,Sábila,"Con unas quinientas (500) especies, el aloe está ampliamente distribuido y se considera una especie invasora en muchas regiones del mundo.​​
Es una planta de hoja perenne, probablemente se originó en la península arábiga, pero crece de forma silvestre en climas tropicales, semitropicales y áridos de todo el mundo.​ Se cultiva para productos comerciales, principalmente como tratamiento tópico utilizado durante siglos.​​ La especie es atractiva con fines decorativos y tiene éxito en interiores como planta de maceta.​
Se utiliza en muchos productos de consumo, incluidas bebidas, lociones para la piel, cosméticos, ungüentos o en forma de gel para quemaduras menores y quemaduras solares.","Aloe vera, también llamada sábila, es una especie suculenta de la familia Asphodelaceae. Con unas quinientas (500) especies, el aloe está ampliamente distribuido y se considera una especie invasora en muchas regiones del mundo.​​
Es una planta de hoja perenne, probablemente se originó en la península arábiga, pero crece de forma silvestre en climas tropicales, semitropicales y áridos de todo el mundo.​ Se cultiva para productos comerciales, principalmente como tratamiento tópico utilizado durante siglos.​​ La especie es atractiva con fines decorativos y tiene éxito en interiores como planta de maceta.​
Se utiliza en muchos productos de consumo, incluidas bebidas, lociones para la piel, cosméticos, ungüentos o en forma de gel para quemaduras menores y quemaduras solares.",,,,
